Euler1,Euler2,Euler3,n14,n14_noise,n16,n16_noise,n20,n20_noise,n24,n24_noise
0,84,98,0.003,4.029,0.319,7.9,0.309,3.497,0.302,5.295
0,84,105,0.315,6.493,0.34,4.719,0.343,7.238,0.282,1.91
0,84,112,0.308,6.476,0.278,8.788,0.289,4.702,0.307,4.819
0,84,119,0.31,7.054,0.383,6.415,0.321,1.402,0.268,5.872
0,84,126,0.364,5.391,0.32,6.115,0.313,8.914,0.319,8.43
0,84,133,0.354,7.893,0.296,7.201,0.317,6.008,0.322,6.003
0,84,140,0.314,5.924,0.166,1.996,0.325,2.107,0.312,0.864
0,84,147,0.355,5.01,0.001,6.037,0.381,6.217,0.324,3.604
0,84,154,0.005,4.002,0.357,8.15,0.339,3.775,0.325,4.528
0,84,161,0.435,6.036,0.327,6.02,0.29,6.006,0.331,6.003
0,84,168,0.287,7.758,0.273,6.657,0.357,6.019,0.336,1.909
0,84,175,0.34,7.294,0.134,3.896,0.324,6.145,0.36,4.707
7,0,0,0.0,9.129,0.0,7.565,0.0,9.383,0.0,8.285
7,0,7,0.0,0.343,0.0,8.367,0.0,2.809,0.0,5.303
7,0,14,0.0,2.988,0.0,7.417,0.0,0.045,0.0,9.504
7,0,21,0.0,9.132,0.0,11.944,0.0,9.533,0.0,4.338
7,0,28,0.0,1.058,0.0,1.222,0.284,12.21,0.287,4.695
7,0,35,0.0,0.189,0.0,0.835,0.322,1.362,0.0,10.646
7,0,42,0.343,3.384,0.0,9.187,0.0,8.587,0.0,2.232
7,0,49,0.0,10.279,0.351,7.53,0.295,0.54,0.286,10.641
7,0,56,0.0,7.462,0.0,5.953,0.342,7.317,0.273,5.234
7,0,63,0.0,6.837,0.0,11.133,0.0,4.869,0.305,6.459
7,0,70,0.0,2.614,0.251,3.159,0.0,6.091,0.204,6.484
7,0,77,0.0,6.001,0.275,8.148,0.0,4.283,0.0,6.263
7,0,84,0.0,0.951,0.0,13.281,0.0,6.213,0.0,0.062
7,0,91,0.0,5.242,0.0,2.826,0.0,4.287,0.0,0.274
7,0,98,0.314,5.253,0.0,3.005,0.377,1.247,0.0,8.672
7,0,105,0.0,5.652,0.0,6.08,0.0,0.279,0.27,0.004
7,0,112,0.0,9.042,0.0,7.836,0.0,4.368,0.32,6.475
7,0,119,0.248,2.173,0.281,8.599,0.0,15.082,0.0,8.899
7,0,126,0.0,2.347,0.0,10.887,0.0,6.702,0.0,7.334
7,0,133,0.0,14.038,0.0,9.264,0.0,6.678,0.0,0.246
7,0,140,0.0,9.811,0.0,5.268,0.306,2.427,0.255,10.564
